-9.3445,1.6033,42.756
-9.4527,1.6219,43.252
-9.5615,1.6406,43.751
-9.671,1.6595,44.254
-9.7811,1.6784,44.759
-9.8919,1.6975,45.267
-10.003,1.7167,45.778
-10.115,1.736,46.292
-10.228,1.7554,46.809
-10.341,1.7749,47.329
-10.455,1.7945,47.852
-10.57,1.8142,48.378
-10.685,1.8341,48.907
-10.801,1.854,49.439
-10.918,1.8741,49.974
-11.035,1.8943,50.511
-11.153,1.9145,51.052
-11.271,1.9349,51.596
-11.39,1.9555,52.142
-11.51,1.9761,52.692
-11.63,1.9968,53.244
-11.751,2.0177,53.8
-11.873,2.0386,54.358
-11.995,2.0597,54.92
-12.118,2.0809,55.484
-12.242,2.1022,56.052
-12.366,2.1236,56.622
-12.491,2.1451,57.195
-12.617,2.1667,57.771
-12.743,2.1885,58.351
-12.87,2.2103,58.933
-12.997,2.2323,59.518
-13.125,2.2543,60.106
-13.254,2.2765,60.697
-13.383,2.2988,61.291
-13.513,2.3212,61.888
-13.644,2.3438,62.488
-13.775,2.3664,63.091
-13.907,2.3892,63.697
-14.04,2.412,64.306
-14.173,2.435,64.918
-14.307,2.4581,65.533
-14.442,2.4813,66.151
-14.577,2.5046,66.771
-14.713,2.528,67.395
-14.849,2.5515,68.022
-14.987,2.5752,68.652
-15.124,2.5989,69.284
-15.263,2.6228,69.92
-15.402,2.6468,70.559
-15.542,2.6709,71.2
-15.682,2.6951,71.845
-15.823,2.7194,72.493
-15.965,2.7439,73.143
-16.107,2.7684,73.797
-16.25,2.7931,74.453
-16.394,2.8178,75.113
-16.538,2.8427,75.776
-16.683,2.8677,76.441
-16.829,2.8928,77.11
-16.975,2.918,77.781
-17.122,2.9434,78.455
-17.269,2.9688,79.133
-17.417,2.9944,79.813
-17.566,3.0201,80.497
-17.716,3.0458,81.183
-17.866,3.0717,81.873
-18.016,3.0978,82.565
-18.168,3.1239,83.26
-18.32,3.1501,83.959
-18.473,3.1765,84.66
-18.626,3.2029,85.364
-18.78,3.2295,86.072
-18.935,3.2562,86.782
-19.09,3.283,87.495
-19.246,3.3099,88.211
-19.403,3.3369,88.931
-19.56,3.3641,89.653
-19.718,3.3913,90.378
-19.876,3.4187,91.106
-20.035,3.4462,91.838
-20.195,3.4738,92.572
-20.356,3.5015,93.309
-20.517,3.5293,94.049
-20.679,3.5572,94.792
-20.841,3.5853,95.538
-21.004,3.6134,96.288
-21.168,3.6417,97.04
-21.332,3.6701,97.795
-21.497,3.6986,98.553
-21.663,3.7272,99.314
-21.83,3.7559,100.08
-21.997,3.7848,100.85
-22.164,3.8137,101.62
-22.332,3.8428,102.39
-22.501,3.872,103.16
-22.671,3.9013,103.94
-22.841,3.9307,104.73
-23.012,3.9602,105.51
-23.184,3.9898,106.3
-23.356,4.0195,107.09
-23.529,4.0494,107.88
-23.702,4.0794,108.68
-23.876,4.1095,109.48
-24.051,4.1397,110.28
-24.227,4.17,111.09
-24.403,4.2004,111.9
-24.579,4.2309,112.71
-24.757,4.2616,113.52
-24.935,4.2924,114.34
-25.114,4.3232,115.16
-25.293,4.3542,115.99
-25.473,4.3853,116.81
-25.653,4.4165,117.64
-25.835,4.4479,118.48
-26.017,4.4793,119.31
-26.199,4.5109,120.15
-26.383,4.5426,120.99
-26.566,4.5743,121.84
-26.751,4.6062,122.69
-26.936,4.6383,123.54
-27.122,4.6704,124.39
-27.308,4.7026,125.25
-27.496,4.735,126.11
-27.683,4.7674,126.97
-27.872,4.8,127.84
-28.061,4.8327,128.7
-28.251,4.8655,129.58
-28.441,4.8984,130.45
-28.632,4.9315,131.33
-28.824,4.9646,132.21
-29.016,4.9979,133.09
-29.209,5.0313,133.98
-29.403,5.0647,134.87
-29.597,5.0983,135.76
-29.792,5.1321,136.66
-29.987,5.1659,137.55
-30.184,5.1998,138.46
-30.38,5.2339,139.36
-30.578,5.2681,140.27
-30.776,5.3023,141.18
-30.975,5.3367,142.09
-31.174,5.3712,143.01
-31.375,5.4059,143.93
-31.575,5.4406,144.85
-31.777,5.4754,145.77
-31.979,5.5104,146.7
-32.181,5.5455,147.63
-32.385,5.5807,148.57
-32.589,5.616,149.5
-32.793,5.6514,150.44
-32.999,5.6869,151.39
-33.204,5.7225,152.33
-33.411,5.7583,153.28
-33.618,5.7942,154.23
-33.826,5.8301,155.19
-34.034,5.8662,156.15
-34.244,5.9024,157.11
-34.453,5.9387,158.07
-34.664,5.9752,159.04
-34.875,6.0117,160.01
-35.087,6.0484,160.98
-35.299,6.0851,161.96
-35.512,6.122,162.93
-35.725,6.159,163.92
-35.94,6.1961,164.9
-36.155,6.2333,165.89
-36.37,6.2707,166.88
-36.586,6.3081,167.87
-36.803,6.3457,168.87
-37.021,6.3833,169.86
-37.239,6.4211,170.87
-37.457,6.459,171.87
-37.677,6.497,172.88
-37.897,6.5351,173.89
-38.118,6.5733,174.9
-38.339,6.6117,175.92
-38.561,6.6501,176.94
-38.783,6.6887,177.96
-39.007,6.7274,178.99
-39.23,6.7662,180.01
-39.455,6.8051,181.05
-39.68,6.8441,182.08
-39.906,6.8832,183.12
-40.132,6.9224,184.16
-40.359,6.9618,185.2
-40.587,7.0012,186.24
-40.815,7.0408,187.29
-41.044,7.0805,188.34
-41.273,7.1203,189.4
-41.504,7.1602,190.46
-41.734,7.2002,191.52
-41.966,7.2403,192.58
-42.198,7.2805,193.64
-42.431,7.3209,194.71
-42.664,7.3613,195.78
-42.898,7.4019,196.86
-43.132,7.4426,197.94
-43.368,7.4834,199.02
-43.603,7.5243,200.1
-43.84,7.5653,201.18
-44.077,7.6064,202.27
-44.315,7.6476,203.36
-44.553,7.689,204.46
-44.792,7.7304,205.56
-45.031,7.772,206.66
-45.272,7.8136,207.76
-45.513,7.8554,208.86
-45.754,7.8973,209.97
-45.996,7.9393,211.09
-46.239,7.9814,212.2
-46.482,8.0236,213.32
-46.726,8.066,214.44
-46.971,8.1084,215.56
-47.216,8.1509,216.68
-47.461,8.1936,217.81
-47.708,8.2364,218.94
-47.955,8.2792,220.08
-48.203,8.3222,221.22
-48.451,8.3653,222.36
-48.7,8.4085,223.5
-48.949,8.4518,224.64
-49.199,8.4953,225.79
-49.45,8.5388,226.94
-49.701,8.5824,228.1
-49.953,8.6262,229.25
-50.206,8.67,230.41
-50.459,8.714,231.57
-50.713,8.7581,232.74
-50.967,8.8022,233.91
-51.222,8.8465,235.08
-51.478,8.8909,236.25
-51.734,8.9354,237.43
-51.991,8.98,238.61
-52.249,9.0247,239.79
-52.507,9.0696,240.97
-52.765,9.1145,242.16
-53.025,9.1595,243.35
-53.284,9.2047,244.54
-53.545,9.2499,245.74
-53.806,9.2953,246.93
-54.068,9.3408,248.13
-54.33,9.3864,249.34
-54.593,9.432,250.54
-54.857,9.4778,251.75
-55.121,9.5237,252.97
-55.385,9.5697,254.18
-55.651,9.6158,255.4
-55.917,9.662,256.62
-56.183,9.7084,257.84
-56.45,9.7548,259.07
-56.718,9.8013,260.29
-56.986,9.848,261.52
-57.255,9.8947,262.76
-57.525,9.9416,263.99
-57.795,9.9885,265.23
-58.065,10.036,266.47
-58.337,10.083,267.72
-58.609,10.13,268.97
-58.881,10.177,270.22
-59.154,10.225,271.47
-59.428,10.272,272.72
-59.702,10.32,273.98
-59.977,10.368,275.24
-60.252,10.416,276.5
-60.528,10.464,277.77
-60.805,10.512,279.04
-61.082,10.56,280.31
-61.36,10.608,281.58
-61.638,10.657,282.86
-61.917,10.705,284.14
-62.197,10.754,285.42
-62.477,10.803,286.7
-62.757,10.852,287.99
-63.039,10.901,289.28
-63.32,10.95,290.57
-63.603,10.999,291.87
-63.886,11.048,293.16
-64.169,11.097,294.46
-64.453,11.147,295.76
-64.738,11.196,297.07
-65.023,11.246,298.38
-65.309,11.296,299.69
-65.596,11.346,301
-65.883,11.395,302.31
-66.17,11.446,303.63
-66.458,11.496,304.95
-66.747,11.546,306.27
-67.036,11.596,307.6
-67.326,11.647,308.93
-67.616,11.697,310.26
-67.907,11.748,311.59
-68.199,11.799,312.92
-68.491,11.849,314.26
-68.783,11.9,315.6
-69.076,11.951,316.95
-69.37,12.003,318.29
-69.664,12.054,319.64
-69.959,12.105,320.99
-70.254,12.157,322.34
-70.55,12.208,323.7
-70.847,12.26,325.05
-71.144,12.312,326.41
-71.441,12.363,327.77
-71.739,12.415,329.14
-72.038,12.467,330.51
-72.337,12.519,331.88
-72.636,12.572,333.25
-72.937,12.624,334.62
-73.237,12.676,336
-73.539,12.729,337.38
-73.84,12.781,338.76
-74.143,12.834,340.14
-74.446,12.887,341.53
-74.749,12.94,342.92
-75.053,12.993,344.31
-75.357,13.046,345.7
-75.662,13.099,347.1
-75.968,13.152,348.5
-76.274,13.205,349.9
-76.58,13.259,351.3
-76.888,13.312,352.7
-77.195,13.366,354.11
-77.503,13.42,355.52
-77.812,13.473,356.93
-78.121,13.527,358.34
-78.43,13.581,359.76
-78.741,13.635,361.18
-79.051,13.69,362.6
-79.362,13.744,364.02
-79.674,13.798,365.45
-79.986,13.853,366.87
-80.299,13.907,368.3
-80.612,13.962,369.73
-80.926,14.016,371.17
-81.24,14.071,372.6
-81.554,14.126,374.04
-81.869,14.181,375.48
-82.185,14.236,376.93
-82.501,14.291,378.37
